Hora	Tiempo(nSeg)	ECG(V)							
01:28:03 p. m.	580.00	2.83							
01:28:03 p. m.	581.00	2.76							
01:28:03 p. m.	582.00	2.8							
01:28:03 p. m.	583.00	2.8							
01:28:03 p. m.	584.00	2.75							
01:28:03 p. m.	585.00	2.68							
01:28:03 p. m.	586.00	2.74							
01:28:03 p. m.	587.00	2.82							
01:28:03 p. m.	588.00	2.78							
01:28:03 p. m.	589.00	2.95							
01:28:03 p. m.	590.00	2.77							
01:28:03 p. m.	591.00	2.85							
01:28:03 p. m.	592.00	2.79							
01:28:03 p. m.	593.00	2.73							
01:28:03 p. m.	594.00	2.89							
01:28:03 p. m.	595.00	3.12							
01:28:03 p. m.	596.00	3.22							
01:28:03 p. m.	597.00	3.02							
01:28:03 p. m.	598.00	2.66							
01:28:03 p. m.	599.00	2.5							
01:28:03 p. m.	600.00	3.13							
01:28:03 p. m.	601.00	2.73							
01:28:03 p. m.	602.00	2.76							
01:28:03 p. m.	603.00	2.73							
01:28:03 p. m.	604.00	2.81							
01:28:03 p. m.	605.00	2.68							
01:28:03 p. m.	606.00	2.7							
01:28:03 p. m.	607.00	2.76							
01:28:03 p. m.	608.00	2.72							
01:28:03 p. m.	609.00	2.76							
01:28:03 p. m.	610.00	2.81							
01:28:03 p. m.	611.00	2.82							
01:28:03 p. m.	612.00	2.75							
01:28:03 p. m.	613.00	2.81							
01:28:04 p. m.	614.00	2.78							
01:28:04 p. m.	615.00	2.8							
01:28:04 p. m.	616.00	2.6							
01:28:04 p. m.	617.00	2.62							
01:28:04 p. m.	618.00	2.8							
01:28:04 p. m.	619.00	2.76							
01:28:04 p. m.	620.00	2.6							
01:28:04 p. m.	621.00	2.7							
01:28:04 p. m.	622.00	2.83							
01:28:04 p. m.	623.00	2.41							
01:28:04 p. m.	624.00	1.74							
01:28:04 p. m.	625.00	1.6							
01:28:04 p. m.	626.00	2.78							
01:28:04 p. m.	627.00	2.99							
01:28:04 p. m.	628.00	2.73							
01:28:04 p. m.	629.00	2.6							
01:28:04 p. m.	630.00	2.51							
01:28:04 p. m.	631.00	2.32							
01:28:04 p. m.	632.00	2.76							
01:28:04 p. m.	633.00	2.71							
01:28:04 p. m.	634.00	2.96							
01:28:04 p. m.	635.00	2.69							
01:28:04 p. m.	636.00	2.73							
01:28:04 p. m.	637.00	2.74							
01:28:04 p. m.	638.00	2.73							
01:28:04 p. m.	639.00	2.77							
01:28:04 p. m.	640.00	2.83							
01:28:04 p. m.	641.00	2.93							
01:28:04 p. m.	642.00	2.82							
01:28:04 p. m.	643.00	2.69							
01:28:04 p. m.	644.00	2.97							
01:28:04 p. m.	645.00	2.89							
01:28:04 p. m.	646.00	2.78							
01:28:04 p. m.	647.00	2.82							
01:28:04 p. m.	648.00	2.89							
01:28:04 p. m.	649.00	2.42							
01:28:04 p. m.	650.00	4.49							
01:28:04 p. m.	651.00	3.1							
01:28:04 p. m.	652.00	2.2							
01:28:04 p. m.	653.00	2.37							
01:28:04 p. m.	654.00	2.76							
01:28:04 p. m.	655.00	2.9							
01:28:04 p. m.	656.00	2.64							
01:28:04 p. m.	657.00	2.76							
01:28:04 p. m.	658.00	3.04							
01:28:04 p. m.	659.00	2.73							
01:28:04 p. m.	660.00	2.7							
01:28:04 p. m.	661.00	2.69							
01:28:05 p. m.	662.00	2.88							
01:28:05 p. m.	663.00	2.85							
01:28:05 p. m.	664.00	2.68							
01:28:05 p. m.	665.00	2.76							
01:28:05 p. m.	666.00	2.95							
01:28:05 p. m.	667.00	2.8							
01:28:05 p. m.	668.00	2.84							
01:28:05 p. m.	669.00	2.98							
01:28:05 p. m.	670.00	2.88							
01:28:05 p. m.	671.00	2.99							
01:28:05 p. m.	672.00	2.77							
01:28:05 p. m.	673.00	2.71							
01:28:05 p. m.	674.00	2.89							
01:28:05 p. m.	675.00	2.36							
01:28:05 p. m.	676.00	3.31							
01:28:05 p. m.	677.00	2.96							
01:28:05 p. m.	678.00	3.62							
01:28:05 p. m.	679.00	2.61							
01:28:05 p. m.	680.00	2.96							
01:28:05 p. m.	681.00	2.64							
01:28:05 p. m.	682.00	2.81							
01:28:05 p. m.	683.00	2.68							
01:28:05 p. m.	684.00	3.11							
01:28:05 p. m.	685.00	2.64							
01:28:05 p. m.	686.00	2.73							
01:28:05 p. m.	687.00	2.76							
01:28:05 p. m.	688.00	2.87							
01:28:05 p. m.	689.00	2.83							
01:28:05 p. m.	690.00	2.58							
01:28:05 p. m.	691.00	2.7							
